COUNTRY,TOTAL_ACTION_RANK,INTEREST_RATE_CUT_RANK,DEEPEST_INTEREST_CUT_2008_2011,AVERAGE_INTEREST_2003_2007,MIN_INTEREST_2008_2011,MONEY_SUPPLY_HIKE_RANK,LARGEST_MONEY_SUPPLY_HIKE_2008_2011,AVERAGE_MONEY_SUPPLY_2003_2007,MAX_MONEY_SUPPLY_2008_2011
Iceland,1,1,5.53,9.53,4,1,82.2,40.8,123
Chile,2,6,3.15,3.63,0.48,4,39.6,26.7,66.3
Colombia,3,5,3.92,7.38,3.46,6,37.5,30.7,68.2
Israel,4,2,4.53,4.89,0.36,12,29.9,17.9,47.8
Russia,4,12,2.52,6.75,4.23,2,55.6,26.6,82.2
United Kingdom,6,4,4.2,4.8,0.6,14,27.3,50.5,77.8
Mexico,6,7,3.13,7.94,4.81,11,32.1,31.5,63.6
Canada,6,9,3,3.38,0.38,9,32.7,42.8,75.5
Indonesia,6,15,2.03,8.9,6.87,3,52.3,12.9,65.2
South Africa,10,10,2.85,8.31,5.46,9,32.7,36.9,69.6
New Zealand,11,3,4.26,6.91,2.65,19,21.1,56.4,77.5
United States,12,8,3.12,3.33,0.21,15,26.8,44.6,71.4
Poland,12,18,1.4,5.22,3.82,5,38,33.1,71.1
Australia,14,11,2.57,5.73,3.16,16,26.3,39,65.3
Switzerland,14,20,1.32,1.03,-0.29,7,34.4,49.2,83.6
Czechia,16,21,1.25,2.41,1.16,8,33.5,38.8,72.3
Sweden,17,13,2.39,2.55,0.16,17,24.8,48,72.8
Hungary,18,14,2.17,8.1,5.93,20,20.4,40.4,60.8
Denmark,19,17,1.75,2.89,1.14,18,23.2,57.6,80.8
Bulgaria,19,22,-0.4,3.96,4.42,13,27.6,35.1,62.7
Korea,21,16,1.87,4.28,2.41,22,17.9,49,66.9
Norway,22,19,1.38,3.27,1.89,21,19.2,35.7,54.9
Japan,23,23,0,0.27,0.33,23,10,75,85
